ERROR 2025-01-17 16:45:54,061 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:46:39,402 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:46:41,226 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:48:25,273 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:48:27,029 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:54:01,620 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 16:54:03,163 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 17:05:33,290 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 17:06:17,687 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 17:06:19,324 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 17:06:39,668 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 17:08:02,264 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 22:56:39,294 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 22:56:42,578 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 23:02:35,247 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 23:02:37,314 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 23:04:21,458 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 10:08:23,686 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 10:08:26,348 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 15:33:21,383 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 15:33:24,399 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 15:33:58,935 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 15:34:01,359 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 19:39:46,326 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 19:39:49,353 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 21:08:59,155 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 21:09:02,555 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 21:10:30,403 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 21:10:44,830 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 21:10:46,419 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 21:21:17,570 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 21:21:19,324 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:01:14,909 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:06:18,175 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:08:19,297 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:09:18,763 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 22:09:21,098 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:09:56,148 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 22:09:58,311 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:17:18,395 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:23:46,093 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 22:23:49,733 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:34:36,795 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 22:39:13,056 NE_RS_UNBLDRE: Unable to load application resource file /resources/style.css api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:39:38,228 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:39:39,740 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:39:53,843 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:39:55,176 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:40:52,193 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:40:53,717 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:41:07,529 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:41:09,016 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-18 22:41:18,116 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-18 22:41:20,484 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
